Vendedor,País,Produto,Data,Valor,Caixas Enviadas,Valor_por_Caixa,Ano,Mes
Jehu Rudeforth,UK,Mint Chip Choco,2022-01-04,5320.0,180,29.555555555555557,2022,1
Van Tuxwell,India,85% Dark Bars,2022-08-01,7896.0,94,84.0,2022,8
Gigi Bohling,India,Peanut Butter Cubes,2022-07-07,4501.0,91,49.46153846153846,2022,7
Jan Morforth,Australia,Peanut Butter Cubes,2022-04-27,12726.0,342,37.21052631578947,2022,4
Jehu Rudeforth,UK,Peanut Butter Cubes,2022-02-24,13685.0,184,74.375,2022,2
Van Tuxwell,India,Smooth Sliky Salty,2022-06-06,5376.0,38,141.47368421052633,2022,6
Oby Sorrel,UK,99% Dark & Pure,2022-01-25,13685.0,176,77.75568181818181,2022,1
Gunar Cockshoot,Australia,After Nines,2022-03-24,3080.0,73,42.19178082191781,2022,3
Jehu Rudeforth,New Zealand,50% Dark Bites,2022-04-20,3990.0,59,67.62711864406779,2022,4
Brien Boise,Australia,99% Dark & Pure,2022-07-04,2835.0,102,27.794117647058822,2022,7
Rafaelita Blaksland,UK,Smooth Sliky Salty,2022-01-13,4704.0,62,75.87096774193549,2022,1
Barr Faughny,USA,Orange Choco,2022-03-10,3703.0,11,336.6363636363636,2022,3
Mallorie Waber,Canada,Eclairs,2022-01-13,1442.0,286,5.041958041958042,2022,1
Karlen McCaffrey,New Zealand,Drinking Coco,2022-07-28,168.0,156,1.0769230769230769,2022,7
Marney O'Breen,New Zealand,Peanut Butter Cubes,2022-08-03,8379.0,173,48.433526011560694,2022,8
Beverie Moffet,Australia,Organic Choco Syrup,2022-01-26,6790.0,356,19.073033707865168,2022,1
Van Tuxwell,Canada,Organic Choco Syrup,2022-02-14,4067.0,42,96.83333333333333,2022,2
Roddy Speechley,USA,Smooth Sliky Salty,2022-04-05,3017.0,140,21.55,2022,4
Beverie Moffet,Canada,Milk Bars,2022-02-16,8799.0,250,35.196,2022,2
Curtice Advani,UK,85% Dark Bars,2022-06-08,1085.0,172,6.308139534883721,2022,6
Brien Boise,Australia,Eclairs,2022-06-27,6888.0,88,78.27272727272727,2022,6
Gunar Cockshoot,USA,Spicy Special Slims,2022-02-17,1267.0,157,8.070063694267516,2022,2
Marney O'Breen,USA,After Nines,2022-05-30,4753.0,163,29.15950920245399,2022,5
Husein Augar,UK,Drinking Coco,2022-03-14,3003.0,113,26.575221238938052,2022,3
Kaine Padly,Australia,Eclairs,2022-02-28,7672.0,115,66.71304347826087,2022,2
Karlen McCaffrey,India,Fruit & Nut Bars,2022-01-26,168.0,321,0.5233644859813084,2022,1
Roddy Speechley,Canada,Spicy Special Slims,2022-02-09,1652.0,186,8.881720430107526,2022,2
Husein Augar,USA,Eclairs,2022-07-07,4025.0,112,35.9375,2022,7
Dennison Crosswaite,New Zealand,White Choc,2022-07-05,9492.0,151,62.86092715231788,2022,7
Dennison Crosswaite,New Zealand,Manuka Honey Choco,2022-06-15,5061.0,301,16.813953488372093,2022,6
Van Tuxwell,New Zealand,85% Dark Bars,2022-05-24,1722.0,121,14.231404958677686,2022,5
Rafaelita Blaksland,UK,99% Dark & Pure,2022-06-29,12446.0,150,82.97333333333333,2022,6
Wilone O'Kielt,Australia,Manuka Honey Choco,2022-05-11,4284.0,94,45.57446808510638,2022,5
Karlen McCaffrey,UK,Almond Choco,2022-06-30,6839.0,133,51.421052631578945,2022,6
Andria Kimpton,Canada,After Nines,2022-05-11,2163.0,70,30.9,2022,5
Roddy Speechley,USA,Manuka Honey Choco,2022-07-22,9583.0,315,30.42222222222222,2022,7
Andria Kimpton,UK,50% Dark Bites,2022-08-24,2653.0,314,8.449044585987261,2022,8
Kelci Walkden,New Zealand,After Nines,2022-07-07,147.0,72,2.0416666666666665,2022,7
Camilla Castle,Australia,85% Dark Bars,2022-05-19,3654.0,14,261.0,2022,5
Karlen McCaffrey,India,Manuka Honey Choco,2022-07-04,2443.0,581,4.204819277108434,2022,7
Kelci Walkden,USA,After Nines,2022-06-02,938.0,16,58.625,2022,6
Karlen McCaffrey,USA,Raspberry Choco,2022-04-15,14749.0,354,41.663841807909606,2022,4
Mallorie Waber,Canada,Choco Coated Almonds,2022-07-11,4781.0,241,19.83817427385892,2022,7
Andria Kimpton,India,Spicy Special Slims,2022-02-23,6307.0,142,44.41549295774648,2022,2
Madelene Upcott,Canada,Almond Choco,2022-08-22,7602.0,102,74.52941176470588,2022,8
Kaine Padly,USA,Peanut Butter Cubes,2022-02-16,6790.0,188,36.11702127659574,2022,2
Van Tuxwell,USA,50% Dark Bites,2022-01-13,9737.0,160,60.85625,2022,1
Curtice Advani,Australia,Milk Bars,2022-02-14,6979.0,18,387.72222222222223,2022,2
Roddy Speechley,India,Eclairs,2022-06-10,4382.0,303,14.462046204620462,2022,6
Curtice Advani,India,Fruit & Nut Bars,2022-07-07,5243.0,176,29.789772727272727,2022,7
Curtice Advani,Canada,Almond Choco,2022-03-24,4865.0,70,69.5,2022,3
Brien Boise,Australia,Fruit & Nut Bars,2022-06-06,8575.0,23,372.82608695652175,2022,6
Dotty Strutley,Australia,Drinking Coco,2022-07-19,91.0,135,0.674074074074074,2022,7
Beverie Moffet,USA,Raspberry Choco,2022-04-19,14798.0,83,178.289156626506,2022,4
Marney O'Breen,India,85% Dark Bars,2022-07-19,2205.0,179,12.318435754189943,2022,7
Jehu Rudeforth,Canada,Drinking Coco,2022-07-15,441.0,24,18.375,2022,7
Ches Bonnell,New Zealand,Spicy Special Slims,2022-02-14,3556.0,18,197.55555555555554,2022,2
Brien Boise,Canada,99% Dark & Pure,2022-05-18,16793.0,416,40.36778846153846,2022,5
Barr Faughny,Australia,Fruit & Nut Bars,2022-06-30,15421.0,55,280.3818181818182,2022,6
Andria Kimpton,Australia,50% Dark Bites,2022-06-02,4438.0,227,19.550660792951543,2022,6
Andria Kimpton,Australia,Drinking Coco,2022-06-28,1603.0,48,33.395833333333336,2022,6
Marney O'Breen,Australia,Organic Choco Syrup,2022-05-16,273.0,174,1.5689655172413792,2022,5
Kelci Walkden,Canada,Baker's Choco Chips,2022-05-26,3073.0,302,10.175496688741722,2022,5
Karlen McCaffrey,India,Almond Choco,2022-07-06,6090.0,149,40.87248322147651,2022,7
Oby Sorrel,India,99% Dark & Pure,2022-05-27,10255.0,11,932.2727272727273,2022,5
Wilone O'Kielt,Australia,Caramel Stuffed Bars,2022-04-14,2030.0,11,184.54545454545453,2022,4
Van Tuxwell,Australia,Organic Choco Syrup,2022-08-10,19453.0,14,1389.5,2022,8
Camilla Castle,India,50% Dark Bites,2022-07-04,9275.0,411,22.5669099756691,2022,7
Oby Sorrel,India,Organic Choco Syrup,2022-07-08,6181.0,56,110.375,2022,7
Jan Morforth,USA,Peanut Butter Cubes,2022-07-22,9037.0,102,88.59803921568627,2022,7
Gigi Bohling,USA,Choco Coated Almonds,2022-03-02,12313.0,103,119.54368932038835,2022,3
Gigi Bohling,UK,Almond Choco,2022-01-10,5642.0,9,626.8888888888889,2022,1
Jehu Rudeforth,New Zealand,White Choc,2022-03-11,2800.0,241,11.618257261410788,2022,3
Andria Kimpton,New Zealand,Peanut Butter Cubes,2022-06-20,959.0,265,3.6188679245283017,2022,6
Van Tuxwell,UK,Organic Choco Syrup,2022-08-26,2002.0,214,9.355140186915888,2022,8
Roddy Speechley,Canada,Milk Bars,2022-07-13,609.0,32,19.03125,2022,7
Camilla Castle,USA,Spicy Special Slims,2022-02-11,1274.0,244,5.221311475409836,2022,2
Marney O'Breen,USA,Orange Choco,2022-01-27,7595.0,181,41.96132596685083,2022,1
Van Tuxwell,UK,99% Dark & Pure,2022-01-31,4725.0,137,34.48905109489051,2022,1
Camilla Castle,USA,White Choc,2022-08-18,9681.0,24,403.375,2022,8
Andria Kimpton,USA,Raspberry Choco,2022-06-30,14504.0,21,690.6666666666666,2022,6
Dotty Strutley,Australia,Fruit & Nut Bars,2022-08-23,280.0,311,0.9003215434083601,2022,8
Brien Boise,New Zealand,Mint Chip Choco,2022-08-01,63.0,181,0.34806629834254144,2022,8
Roddy Speechley,New Zealand,After Nines,2022-05-25,8001.0,10,800.1,2022,5
Roddy Speechley,Canada,Organic Choco Syrup,2022-01-10,4032.0,82,49.170731707317074,2022,1
Dennison Crosswaite,Australia,70% Dark Bites,2022-02-07,5859.0,108,54.25,2022,2
Karlen McCaffrey,USA,Orange Choco,2022-05-12,11095.0,401,27.668329177057355,2022,5
Madelene Upcott,Australia,Spicy Special Slims,2022-03-07,7182.0,408,17.602941176470587,2022,3
Dennison Crosswaite,Australia,85% Dark Bars,2022-04-05,6881.0,420,16.383333333333333,2022,4
Andria Kimpton,Canada,Caramel Stuffed Bars,2022-01-03,7154.0,348,20.557471264367816,2022,1
Dennison Crosswaite,UK,Eclairs,2022-03-24,6188.0,270,22.918518518518518,2022,3
Madelene Upcott,India,Raspberry Choco,2022-07-07,4221.0,9,469.0,2022,7
Van Tuxwell,USA,After Nines,2022-07-26,630.0,264,2.3863636363636362,2022,7
Wilone O'Kielt,Australia,Organic Choco Syrup,2022-07-07,1743.0,111,15.702702702702704,2022,7
Karlen McCaffrey,Canada,50% Dark Bites,2022-07-15,2919.0,65,44.90769230769231,2022,7
Roddy Speechley,New Zealand,Orange Choco,2022-04-01,49.0,97,0.5051546391752577,2022,4
Beverie Moffet,Australia,Eclairs,2022-06-20,1827.0,6,304.5,2022,6
Kelci Walkden,UK,Fruit & Nut Bars,2022-06-29,13006.0,482,26.983402489626556,2022,6
Marney O'Breen,USA,50% Dark Bites,2022-06-15,1064.0,106,10.037735849056604,2022,6
Husein Augar,USA,After Nines,2022-04-08,11571.0,180,64.28333333333333,2022,4
Dennison Crosswaite,Australia,Raspberry Choco,2022-03-14,5740.0,31,185.16129032258064,2022,3
Andria Kimpton,USA,Fruit & Nut Bars,2022-07-15,1456.0,359,4.055710306406685,2022,7
Kelci Walkden,India,Eclairs,2022-04-19,5334.0,80,66.675,2022,4
Marney O'Breen,USA,99% Dark & Pure,2022-03-28,4151.0,296,14.02364864864865,2022,3
Brien Boise,Canada,Spicy Special Slims,2022-03-04,8106.0,101,80.25742574257426,2022,3
Karlen McCaffrey,New Zealand,70% Dark Bites,2022-08-02,126.0,40,3.15,2022,8
Husein Augar,UK,Spicy Special Slims,2022-08-25,4697.0,42,111.83333333333333,2022,8
Marney O'Breen,USA,Almond Choco,2022-02-25,7798.0,167,46.69461077844311,2022,2
Kelci Walkden,India,Orange Choco,2022-06-07,9408.0,138,68.17391304347827,2022,6
Jan Morforth,India,Spicy Special Slims,2022-04-12,1939.0,520,3.728846153846154,2022,4
Ches Bonnell,India,Spicy Special Slims,2022-07-06,10906.0,94,116.02127659574468,2022,7
Kelci Walkden,UK,Smooth Sliky Salty,2022-01-19,5929.0,175,33.88,2022,1
Madelene Upcott,Australia,Fruit & Nut Bars,2022-01-05,5579.0,92,60.641304347826086,2022,1
Madelene Upcott,Canada,70% Dark Bites,2022-01-24,10927.0,141,77.49645390070921,2022,1
Wilone O'Kielt,Australia,Drinking Coco,2022-04-06,623.0,283,2.2014134275618376,2022,4
Gunar Cockshoot,Australia,Fruit & Nut Bars,2022-06-15,6013.0,21,286.3333333333333,2022,6
Gigi Bohling,Canada,Baker's Choco Chips,2022-01-28,1505.0,47,32.02127659574468,2022,1
Kelci Walkden,India,Caramel Stuffed Bars,2022-03-16,476.0,125,3.808,2022,3
Rafaelita Blaksland,Australia,Drinking Coco,2022-02-21,11550.0,396,29.166666666666668,2022,2
Kelci Walkden,USA,Manuka Honey Choco,2022-02-16,17318.0,87,199.05747126436782,2022,2
Jehu Rudeforth,Canada,Spicy Special Slims,2022-01-13,1848.0,27,68.44444444444444,2022,1
Kelci Walkden,Australia,Eclairs,2022-03-23,7273.0,547,13.296160877513712,2022,3
Curtice Advani,Canada,Spicy Special Slims,2022-06-16,854.0,118,7.237288135593221,2022,6
Oby Sorrel,India,Raspberry Choco,2022-04-14,6832.0,46,148.52173913043478,2022,4
Kelci Walkden,UK,Eclairs,2022-01-25,4606.0,57,80.80701754385964,2022,1
Jan Morforth,India,Almond Choco,2022-03-11,4466.0,22,203.0,2022,3
Dotty Strutley,UK,Almond Choco,2022-07-28,16114.0,96,167.85416666666666,2022,7
Marney O'Breen,New Zealand,After Nines,2022-03-09,1561.0,44,35.47727272727273,2022,3
Husein Augar,Australia,Orange Choco,2022-06-28,8897.0,188,47.32446808510638,2022,6
Marney O'Breen,Australia,Milk Bars,2022-07-28,2464.0,387,6.366925064599483,2022,7
Kelci Walkden,Canada,99% Dark & Pure,2022-08-15,4830.0,50,96.6,2022,8
Kaine Padly,Australia,Manuka Honey Choco,2022-01-12,2765.0,264,10.473484848484848,2022,1
Beverie Moffet,New Zealand,White Choc,2022-03-24,7126.0,7,1018.0,2022,3
Van Tuxwell,UK,Milk Bars,2022-07-25,4263.0,90,47.36666666666667,2022,7
Oby Sorrel,Canada,99% Dark & Pure,2022-08-01,3605.0,403,8.945409429280398,2022,8
Van Tuxwell,India,Organic Choco Syrup,2022-05-16,19929.0,174,114.53448275862068,2022,5
